transit_date,station_complex,ridership
2022-02-04,"8 St-NYU (R,W)",4551.0
2022-02-04,"81 St-Museum of Natural History (C,B)",4649.0
2022-02-04,"86 St (C,B)",4002.0
2022-02-04,"96 St (C,B)",3912.0
2022-02-04,"Astoria-Ditmars Blvd (N,W)",6395.0
2022-02-04,Atlantic Av (L),806.0
2022-02-04,Bedford Av (L),8261.0
2022-02-04,"Bowery (J,Z)",1037.0
2022-02-04,"Broad St (J,Z)",2004.0
2022-02-04,Bushwick Av-Aberdeen St (L),1048.0
2022-02-04,"Canal St (A,C,E)",4615.0
2022-02-04,Canarsie-Rockaway Pkwy (L),2659.0
2022-02-04,"Cathedral Pkwy (110 St) (C,B)",3079.0
2022-02-04,Central Av (M),1477.0
2022-02-04,Clinton-Washington Avs (C),2422.0
2022-02-04,DeKalb Av (L),5123.0
2022-02-04,Dyckman St (A),2716.0
2022-02-04,East 105 St (L),1435.0
2022-02-04,Forest Av (M),2038.0
2022-02-04,Fresh Pond Rd (M),2652.0
2022-02-04,Graham Av (L),3441.0
2022-02-04,Grand St (L),3144.0
2022-02-04,Halsey St (L),3108.0
2022-02-04,"Hewes St (M,J)",1110.0
2022-02-04,"High St (A,C)",3195.0
2022-02-04,"Hoyt-Schermerhorn Sts (A,C,G)",4071.0
2022-02-04,Inwood-207 St (A),3632.0
2022-02-04,Jefferson St (L),2738.0
2022-02-04,Kingston-Throop Avs (C),2535.0
2022-02-04,Knickerbocker Av (M),1675.0
2022-02-04,Lafayette Av (C),2015.0
2022-02-04,Livonia Av (L),1274.0
2022-02-04,"Marcy Av (M,J,Z)",4488.0
2022-02-04,Middle Village-Metropolitan Av (M),2033.0
2022-02-04,Montrose Av (L),2727.0
2022-02-04,Morgan Av (L),2551.0
2022-02-04,New Lots Av (L),2004.0
2022-02-04,"Nostrand Av (A,C)",6651.0
2022-02-04,Park Pl (S),822.0
2022-02-04,"Prince St (R,W)",3156.0
2022-02-04,Seneca Av (M),1273.0
2022-02-04,"Spring St (C,E)",3540.0
2022-02-04,Sutter Av (L),1522.0
2022-02-04,"Utica Av (A,C)",1853.0
2022-02-04,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",11891.0
2022-02-04,Wilson Av (L),1869.0
2022-02-05,1 Av (L),5650.0
2022-02-05,"103 St (C,B)",1293.0
2022-02-05,"116 St (C,B)",1691.0
2022-02-05,"125 St (A,C,B,D)",7751.0
2022-02-05,"135 St (C,B)",1139.0
2022-02-05,"145 St (A,C,B,D)",7231.0
2022-02-05,155 St (C),964.0
2022-02-05,163 St-Amsterdam Av (C),1371.0
2022-02-05,175 St (A),3092.0
2022-02-05,181 St (A),3044.0
2022-02-05,190 St (A),1252.0
2022-02-05,"23 St (C,E)",2556.0
2022-02-05,"23 St (R,W)",4266.0
2022-02-05,"28 St (R,W)",2351.0
2022-02-05,3 Av (L),1755.0
2022-02-05,"34 St-Penn Station (A,C,E)",13062.0
2022-02-05,"49 St (N,R,W)",6087.0
2022-02-05,"50 St (C,E)",1621.0
2022-02-05,"72 St (C,B)",1674.0
2022-02-05,"8 St-NYU (R,W)",3754.0
2022-02-05,"81 St-Museum of Natural History (C,B)",2960.0
2022-02-05,"86 St (C,B)",1983.0
2022-02-05,"96 St (C,B)",1863.0
2022-02-05,"Astoria-Ditmars Blvd (N,W)",3794.0
2022-02-05,Atlantic Av (L),332.0
2022-02-05,Bedford Av (L),7935.0
2022-02-05,"Bowery (J,Z)",1047.0
2022-02-05,"Broad St (J,Z)",802.0
2022-02-05,Bushwick Av-Aberdeen St (L),776.0
2022-02-05,"Canal St (A,C,E)",2657.0
2022-02-05,Canarsie-Rockaway Pkwy (L),1290.0
2022-02-05,"Cathedral Pkwy (110 St) (C,B)",2583.0
2022-02-05,Central Av (M),719.0
2022-02-05,Clinton-Washington Avs (C),1317.0
2022-02-05,DeKalb Av (L),3195.0
2022-02-05,Dyckman St (A),2028.0
2022-02-05,East 105 St (L),587.0
2022-02-05,Forest Av (M),885.0
2022-02-05,Fresh Pond Rd (M),1344.0
2022-02-05,Graham Av (L),2391.0
2022-02-05,Grand St (L),1727.0
2022-02-05,Halsey St (L),1924.0
2022-02-05,"Hewes St (M,J)",688.0
2022-02-05,"High St (A,C)",1425.0
2022-02-05,"Hoyt-Schermerhorn Sts (A,C,G)",2869.0
2022-02-05,Inwood-207 St (A),2630.0
2022-02-05,Jefferson St (L),2144.0
2022-02-05,Kingston-Throop Avs (C),1527.0
2022-02-05,Knickerbocker Av (M),901.0
2022-02-05,Lafayette Av (C),1395.0
2022-02-05,Livonia Av (L),633.0
2022-02-05,"Marcy Av (M,J,Z)",2403.0
2022-02-05,Middle Village-Metropolitan Av (M),792.0
2022-02-05,Montrose Av (L),2050.0
2022-02-05,Morgan Av (L),2004.0
2022-02-05,New Lots Av (L),884.0
2022-02-05,"Nostrand Av (A,C)",4252.0
2022-02-05,Park Pl (S),461.0
2022-02-05,"Prince St (R,W)",3950.0
2022-02-05,Seneca Av (M),561.0
2022-02-05,"Spring St (C,E)",1721.0
2022-02-05,Sutter Av (L),682.0
2022-02-05,"Utica Av (A,C)",1329.0
2022-02-05,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",9985.0
2022-02-05,Wilson Av (L),1208.0
2022-02-06,1 Av (L),4785.0
2022-02-06,"103 St (C,B)",1133.0
2022-02-06,"116 St (C,B)",1358.0
2022-02-06,"125 St (A,C,B,D)",5646.0
2022-02-06,"135 St (C,B)",882.0
2022-02-06,"145 St (A,C,B,D)",5709.0
2022-02-06,155 St (C),876.0
2022-02-06,163 St-Amsterdam Av (C),1233.0
2022-02-06,175 St (A),2204.0
2022-02-06,181 St (A),2461.0
2022-02-06,190 St (A),1019.0
2022-02-06,"23 St (C,E)",1759.0
2022-02-06,"23 St (R,W)",3186.0
2022-02-06,"28 St (R,W)",1697.0
2022-02-06,3 Av (L),1447.0
2022-02-06,"34 St-Penn Station (A,C,E)",10267.0
2022-02-06,"49 St (N,R,W)",4891.0
2022-02-06,"50 St (C,E)",1371.0
2022-02-06,"72 St (C,B)",1627.0
2022-02-06,"8 St-NYU (R,W)",2843.0
2022-02-06,"81 St-Museum of Natural History (C,B)",2681.0
2022-02-06,"86 St (C,B)",1683.0
2022-02-06,"96 St (C,B)",1631.0
2022-02-06,"Astoria-Ditmars Blvd (N,W)",2692.0
2022-02-06,Atlantic Av (L),281.0
2022-02-06,Bedford Av (L),6277.0
2022-02-06,"Bowery (J,Z)",787.0
2022-02-06,"Broad St (J,Z)",536.0
2022-02-06,Bushwick Av-Aberdeen St (L),594.0
2022-02-06,"Canal St (A,C,E)",2124.0
2022-02-06,Canarsie-Rockaway Pkwy (L),1033.0
2022-02-06,"Cathedral Pkwy (110 St) (C,B)",1888.0
2022-02-06,Central Av (M),525.0
2022-02-06,Clinton-Washington Avs (C),1011.0
2022-02-06,DeKalb Av (L),2380.0
2022-02-06,Dyckman St (A),1572.0
2022-02-06,East 105 St (L),492.0
2022-02-06,Forest Av (M),640.0
2022-02-06,Fresh Pond Rd (M),976.0
2022-02-06,Graham Av (L),1788.0
2022-02-06,Grand St (L),1117.0
2022-02-06,Halsey St (L),1447.0
2022-02-06,"Hewes St (M,J)",526.0
2022-02-06,"High St (A,C)",1068.0
2022-02-06,"Hoyt-Schermerhorn Sts (A,C,G)",2281.0
2022-02-06,Inwood-207 St (A),2097.0
2022-02-06,Jefferson St (L),1583.0
2022-02-06,Kingston-Throop Avs (C),1147.0
2022-02-06,Knickerbocker Av (M),619.0
2022-02-06,Lafayette Av (C),1043.0
2022-02-06,Livonia Av (L),507.0
2022-02-06,"Marcy Av (M,J,Z)",2026.0
2022-02-06,Middle Village-Metropolitan Av (M),601.0
2022-02-06,Montrose Av (L),1542.0
2022-02-06,Morgan Av (L),1536.0
2022-02-06,New Lots Av (L),730.0
2022-02-06,"Nostrand Av (A,C)",2993.0
2022-02-06,Park Pl (S),357.0
2022-02-06,"Prince St (R,W)",2819.0
2022-02-06,Seneca Av (M),412.0
2022-02-06,"Spring St (C,E)",1375.0
2022-02-06,Sutter Av (L),523.0
2022-02-06,"Utica Av (A,C)",897.0
2022-02-06,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",7809.0
2022-02-06,Wilson Av (L),967.0
2022-02-07,1 Av (L),8666.0
2022-02-07,"103 St (C,B)",1815.0
2022-02-07,"116 St (C,B)",3069.0
2022-02-07,"125 St (A,C,B,D)",11267.0
2022-02-07,"135 St (C,B)",2532.0
2022-02-07,"145 St (A,C,B,D)",10665.0
2022-02-07,155 St (C),1258.0
2022-02-07,163 St-Amsterdam Av (C),1959.0
2022-02-07,175 St (A),4869.0
2022-02-07,181 St (A),4638.0
2022-02-07,190 St (A),1804.0
2022-02-07,"23 St (C,E)",7452.0
2022-02-07,"23 St (R,W)",5564.0
2022-02-07,"28 St (R,W)",2920.0
2022-02-07,3 Av (L),2345.0
2022-02-07,"34 St-Penn Station (A,C,E)",23640.0
2022-02-07,"49 St (N,R,W)",5772.0
2022-02-07,"50 St (C,E)",6079.0
2022-02-07,"72 St (C,B)",2741.0
2022-02-07,"8 St-NYU (R,W)",4460.0
2022-02-07,"81 St-Museum of Natural History (C,B)",3627.0
2022-02-07,"86 St (C,B)",4342.0
2022-02-07,"96 St (C,B)",4049.0
2022-02-07,"Astoria-Ditmars Blvd (N,W)",6506.0
2022-02-07,Atlantic Av (L),876.0
2022-02-07,Bedford Av (L),7917.0
2022-02-07,"Bowery (J,Z)",981.0
2022-02-07,"Broad St (J,Z)",2047.0
2022-02-07,Bushwick Av-Aberdeen St (L),1063.0
2022-02-07,"Canal St (A,C,E)",5100.0
2022-02-07,Canarsie-Rockaway Pkwy (L),2813.0
2022-02-07,"Cathedral Pkwy (110 St) (C,B)",3010.0
2022-02-07,Central Av (M),1525.0
2022-02-07,Clinton-Washington Avs (C),2528.0
2022-02-07,DeKalb Av (L),4877.0
2022-02-07,Dyckman St (A),2807.0
2022-02-07,East 105 St (L),1476.0
2022-02-07,Forest Av (M),2134.0
2022-02-07,Fresh Pond Rd (M),2736.0
2022-02-07,Graham Av (L),3364.0
2022-02-07,Grand St (L),3213.0
2022-02-07,Halsey St (L),3140.0
2022-02-07,"Hewes St (M,J)",1177.0
2022-02-07,"High St (A,C)",3448.0
2022-02-07,"Hoyt-Schermerhorn Sts (A,C,G)",4093.0
2022-02-07,Inwood-207 St (A),3919.0
2022-02-07,Jefferson St (L),2593.0
2022-02-07,Kingston-Throop Avs (C),2524.0
2022-02-07,Knickerbocker Av (M),1681.0
2022-02-07,Lafayette Av (C),1990.0
2022-02-07,Livonia Av (L),1401.0
2022-02-07,"Marcy Av (M,J,Z)",4774.0
2022-02-07,Middle Village-Metropolitan Av (M),2186.0
2022-02-07,Montrose Av (L),2625.0
2022-02-07,Morgan Av (L),2205.0
2022-02-07,New Lots Av (L),2175.0
2022-02-07,"Nostrand Av (A,C)",6660.0
2022-02-07,Park Pl (S),839.0
2022-02-07,"Prince St (R,W)",2612.0
2022-02-07,Seneca Av (M),1162.0
2022-02-07,"Spring St (C,E)",3475.0
2022-02-07,Sutter Av (L),1648.0
2022-02-07,"Utica Av (A,C)",1655.0
2022-02-07,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",11493.0
2022-02-07,Wilson Av (L),1892.0
2022-02-08,1 Av (L),9321.0
2022-02-08,"103 St (C,B)",1986.0
2022-02-08,"116 St (C,B)",3392.0
2022-02-08,"125 St (A,C,B,D)",12607.0
2022-02-08,"135 St (C,B)",2608.0
2022-02-08,"145 St (A,C,B,D)",10462.0
2022-02-08,155 St (C),1331.0
2022-02-08,163 St-Amsterdam Av (C),2064.0
2022-02-08,175 St (A),5102.0
2022-02-08,181 St (A),5065.0
2022-02-08,190 St (A),1960.0
2022-02-08,"23 St (C,E)",8077.0
2022-02-08,"23 St (R,W)",5865.0
2022-02-08,"28 St (R,W)",3275.0
2022-02-08,3 Av (L),2536.0
2022-02-08,"34 St-Penn Station (A,C,E)",25273.0
2022-02-08,"49 St (N,R,W)",6980.0
2022-02-08,"50 St (C,E)",6744.0
2022-02-08,"72 St (C,B)",3039.0
2022-02-08,"8 St-NYU (R,W)",5304.0
2022-02-08,"81 St-Museum of Natural History (C,B)",3961.0
2022-02-08,"86 St (C,B)",4619.0
2022-02-08,"96 St (C,B)",4437.0
2022-02-08,"Astoria-Ditmars Blvd (N,W)",7121.0
2022-02-08,Atlantic Av (L),842.0
2022-02-08,Bedford Av (L),9159.0
2022-02-08,"Bowery (J,Z)",1111.0
2022-02-08,"Broad St (J,Z)",2360.0
2022-02-08,Bushwick Av-Aberdeen St (L),1140.0
2022-02-08,"Canal St (A,C,E)",5840.0
2022-02-08,Canarsie-Rockaway Pkwy (L),2830.0
2022-02-08,"Cathedral Pkwy (110 St) (C,B)",3241.0
2022-02-08,Central Av (M),1629.0
2022-02-08,Clinton-Washington Avs (C),2722.0
2022-02-08,DeKalb Av (L),5267.0
2022-02-08,Dyckman St (A),3032.0
2022-02-08,East 105 St (L),1576.0
2022-02-08,Forest Av (M),2173.0
2022-02-08,Fresh Pond Rd (M),2930.0
2022-02-08,Graham Av (L),3522.0
2022-02-08,Grand St (L),3328.0
2022-02-08,Halsey St (L),3215.0
2022-02-08,"Hewes St (M,J)",1270.0
2022-02-08,"High St (A,C)",4010.0
2022-02-08,"Hoyt-Schermerhorn Sts (A,C,G)",4554.0
2022-02-08,Inwood-207 St (A),4193.0
2022-02-08,Jefferson St (L),2834.0
2022-02-08,Kingston-Throop Avs (C),2752.0
2022-02-08,Knickerbocker Av (M),1879.0
2022-02-08,Lafayette Av (C),2297.0
2022-02-08,Livonia Av (L),1544.0
2022-02-08,"Marcy Av (M,J,Z)",4976.0
2022-02-08,Middle Village-Metropolitan Av (M),2333.0
2022-02-08,Montrose Av (L),2937.0
2022-02-08,Morgan Av (L),2465.0
2022-02-08,New Lots Av (L),2300.0
2022-02-08,"Nostrand Av (A,C)",7112.0
2022-02-08,Park Pl (S),865.0
2022-02-08,"Prince St (R,W)",3018.0
2022-02-08,Seneca Av (M),1296.0
2022-02-08,"Spring St (C,E)",4056.0
2022-02-08,Sutter Av (L),1551.0
2022-02-08,"Utica Av (A,C)",1680.0
2022-02-08,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",13273.0
2022-02-08,Wilson Av (L),2055.0
2022-02-09,1 Av (L),15565.0
2022-02-09,"103 St (C,B)",2705.0
2022-02-09,"116 St (C,B)",4465.0
2022-02-09,"125 St (A,C,B,D)",16643.0
2022-02-09,"135 St (C,B)",3712.0
2022-02-09,"145 St (A,C,B,D)",15302.0
2022-02-09,155 St (C),1603.0
2022-02-09,163 St-Amsterdam Av (C),2720.0
2022-02-09,175 St (A),6839.0
2022-02-09,181 St (A),6624.0
2022-02-09,190 St (A),2507.0
2022-02-09,"23 St (C,E)",12062.0
2022-02-09,"23 St (R,W)",10182.0
2022-02-09,"28 St (R,W)",4988.0
2022-02-09,3 Av (L),4155.0
2022-02-09,"34 St-Penn Station (A,C,E)",37188.0
2022-02-09,"49 St (N,R,W)",10738.0
2022-02-09,"50 St (C,E)",9590.0
2022-02-09,"72 St (C,B)",4753.0
2022-02-09,"8 St-NYU (R,W)",9166.0
2022-02-09,"81 St-Museum of Natural History (C,B)",6684.0
2022-02-09,"86 St (C,B)",6403.0
2022-02-09,"96 St (C,B)",5893.0
2022-02-09,"Astoria-Ditmars Blvd (N,W)",9693.0
2022-02-09,Atlantic Av (L),1113.0
